,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
153,0.65,2.25393253968,0.0,0.27,1.0,1.835,0.02
154,0.7,21.6554563492,0.0,14.98,0.5,21.815,0.97
155,0.7,9.73898611111,0.0,4.26,0.55,8.93,0.33
156,0.7,3.00893452381,0.0,0.0,0.6,3.055,0.01
157,0.7,12.3942996032,0.0,4.17,0.65,11.65,0.27
158,0.7,12.3605178571,0.0,3.68,0.7,11.69,0.28
159,0.7,16.7551646825,0.0,6.25,0.75,17.28,0.5
160,0.7,18.1163829365,0.0,9.13,0.8,18.77,0.69
161,0.7,23.2056349206,0.0,9.42,0.85,23.265,0.77
162,0.7,21.172390873,0.0,13.27,0.9,21.27,0.93
163,0.7,20.9143234127,0.0,9.76,0.95,21.11,0.61
164,0.7,2.83630952381,0.0,0.41,1.0,2.8,0.03
165,0.0,-7.42069246032,0.05,2.43,0.5,-7.22,0.13
166,0.0,1.1381984127,0.05,0.28,0.55,1.115,0.04
167,0.0,-21.5510595238,0.05,0.21,0.6,-21.265,0.01
168,0.0,-2.25148809524,0.05,1.71,0.65,-2.2,0.08
169,0.0,8.12265873016,0.05,4.61,0.7,7.975,0.55
170,0.0,4.85891071429,0.05,0.79,0.75,4.78,0.02
171,0.0,10.8544444444,0.05,3.66,0.8,10.71,0.26
172,0.0,-17.5028035714,0.05,1.36,0.85,-17.44,0.07
173,0.0,-16.7021309524,0.05,1.89,0.9,-16.605,0.1
174,0.0,-3.22282142857,0.05,0.9,0.95,-2.955,0.06
175,0.0,-1.23038690476,0.05,3.9,1.0,-1.15,0.2
176,0.05,18.5924424603,0.05,11.95,0.5,19.465,0.82
177,0.05,21.590468254,0.05,10.54,0.55,22.04,0.86
178,0.05,17.9400595238,0.05,11.27,0.6,18.635,0.8
179,0.05,19.0480357143,0.05,13.82,0.65,20.48,0.84
180,0.05,13.3182837302,0.05,7.24,0.7,13.975,0.49
181,0.05,18.4073511905,0.05,9.01,0.75,19.285,0.56
182,0.05,18.6511150794,0.05,8.77,0.8,18.515,0.64
183,0.05,15.7438571429,0.05,9.42,0.85,16.77,0.65
184,0.05,14.5161904762,0.05,5.49,0.9,14.705,0.38
185,0.05,17.9332757937,0.05,11.63,0.95,18.775,0.85
186,0.05,12.9297857143,0.05,2.47,1.0,13.72,0.16
187,0.1,22.2586488095,0.05,12.6,0.5,22.13,0.88
188,0.1,22.7585793651,0.05,13.42,0.55,23.155,0.9
189,0.1,22.0036607143,0.05,12.59,0.6,21.815,0.98
190,0.1,18.6835793651,0.05,11.04,0.65,19.325,0.85
191,0.1,21.5024285714,0.05,11.81,0.7,22.3,0.89
192,0.1,20.4919107143,0.05,7.56,0.75,21.12,0.62
193,0.1,20.2555396825,0.05,12.78,0.8,20.295,0.9
194,0.1,16.5707837302,0.05,8.3,0.85,16.89,0.69
195,0.1,19.9924107143,0.05,13.39,0.9,20.42,0.88
196,0.1,10.9851527778,0.05,1.91,0.95,11.235,0.14
197,0.1,18.1010654762,0.05,7.33,1.0,18.97,0.54
198,0.15,18.6280734127,0.05,10.25,0.5,19.115,0.79
199,0.15,21.2959583333,0.05,12.26,0.55,21.515,0.89
200,0.15,22.7050555556,0.05,10.58,0.6,23.22,0.65
201,0.15,22.7703492063,0.05,8.67,0.65,23.35,0.69
202,0.15,21.471031746,0.05,8.24,0.7,22.21,0.56
203,0.15,18.5736825397,0.05,8.44,0.75,19.55,0.63
204,0.15,19.9734722222,0.05,8.73,0.8,21.17,0.64
205,0.15,18.6617738095,0.05,4.77,0.85,20.01,0.35
206,0.15,18.7542400794,0.05,8.58,0.9,19.16,0.6
207,0.15,20.8913412698,0.05,11.45,0.95,20.995,0.92
208,0.15,8.9027797619,0.05,3.78,1.0,9.565,0.34
209,0.2,21.9374444444,0.05,13.76,0.5,22.555,0.9
210,0.2,23.9242420635,0.05,10.16,0.55,24.925,0.69
211,0.2,21.8574464286,0.05,7.86,0.6,22.46,0.61
212,0.2,22.0815456349,0.05,11.33,0.65,22.605,0.78
213,0.2,23.1569960317,0.05,10.82,0.7,23.845,0.77
214,0.2,20.4537619048,0.05,10.34,0.75,21.685,0.74
215,0.2,19.3149027778,0.05,4.41,0.8,20.235,0.4
216,0.2,19.9543452381,0.05,13.83,0.85,20.845,0.94
217,0.2,21.4016607143,0.05,10.28,0.9,22.025,0.72
218,0.2,10.9595099206,0.05,3.6,0.95,11.775,0.31
219,0.2,16.9509563492,0.05,3.06,1.0,16.885,0.19
220,0.25,22.4288988095,0.05,12.36,0.5,22.11,0.88
221,0.25,23.2337896825,0.05,12.31,0.55,23.295,0.85
222,0.25,23.2865654762,0.05,10.63,0.6,23.5,0.8
223,0.25,21.8661309524,0.05,12.85,0.65,22.095,0.91
224,0.25,24.9283115079,0.05,10.42,0.7,25.28,0.79
225,0.25,21.6588849206,0.05,8.22,0.75,22.365,0.59
226,0.25,20.7718769841,0.05,13.6,0.8,20.995,0.95
227,0.25,23.1650059524,0.05,14.19,0.85,23.475,0.9
228,0.25,15.7059365079,0.05,6.4,0.9,16.93,0.56
229,0.25,20.1153611111,0.05,7.44,0.95,20.735,0.48
230,0.25,14.6324345238,0.05,6.59,1.0,15.27,0.51
231,0.3,21.7267916667,0.05,12.2,0.5,22.52,0.82
232,0.3,22.8513531746,0.05,8.33,0.55,23.395,0.64
233,0.3,24.0732837302,0.05,11.32,0.6,24.485,0.76
234,0.3,19.135234127,0.05,11.72,0.65,19.705,0.81
235,0.3,27.0143313492,0.05,8.26,0.7,26.795,0.59
236,0.3,19.2535019841,0.05,9.66,0.75,20.25,0.71
237,0.3,23.400047619,0.05,5.51,0.8,24.41,0.4
238,0.3,24.9711666667,0.05,7.39,0.85,25.04,0.52
239,0.3,23.7633373016,0.05,7.44,0.9,24.375,0.55
240,0.3,19.7391011905,0.05,4.99,0.95,20.52,0.35
241,0.3,14.9164384921,0.05,7.28,1.0,16.04,0.51
242,0.35,21.1541488095,0.05,11.32,0.5,21.885,0.82
243,0.35,22.9387857143,0.05,11.17,0.55,23.93,0.74
244,0.35,20.0581269841,0.05,10.46,0.6,21.145,0.7
245,0.35,24.0774900794,0.05,6.9,0.65,24.505,0.55
246,0.35,20.068875,0.05,7.15,0.7,20.89,0.55
247,0.35,20.7494365079,0.05,7.44,0.75,21.31,0.5
248,0.35,25.1155714286,0.05,8.1,0.8,25.185,0.6
249,0.35,20.3773035714,0.05,11.14,0.85,20.965,0.81
250,0.35,18.9372738095,0.05,5.27,0.9,19.365,0.37
251,0.35,21.2302876984,0.05,10.97,0.95,21.775,0.75
252,0.35,15.1410496032,0.05,10.29,1.0,15.465,0.67
253,0.4,21.4854146825,0.05,12.18,0.5,22.14,0.8
254,0.4,18.0875198413,0.05,8.4,0.55,19.17,0.53
255,0.4,20.114718254,0.05,10.8,0.6,20.44,0.8
256,0.4,23.7487083333,0.05,8.63,0.65,24.445,0.66
257,0.4,23.9708055556,0.05,5.74,0.7,23.5,0.39
258,0.4,20.6599940476,0.05,7.91,0.75,21.68,0.53
259,0.4,22.1689722222,0.05,4.76,0.8,22.54,0.26
260,0.4,23.6137261905,0.05,4.54,0.85,23.725,0.42
261,0.4,16.7550535714,0.05,10.54,0.9,17.645,0.65
262,0.4,14.411952381,0.05,3.74,0.95,15.74,0.24
263,0.4,17.0113928571,0.05,6.5,1.0,17.435,0.49
264,0.45,19.0124126984,0.05,10.4,0.5,19.8,0.85
265,0.45,20.0238373016,0.05,8.6,0.55,20.57,0.53
266,0.45,20.4101269841,0.05,8.61,0.6,20.95,0.56
267,0.45,22.3934265873,0.05,8.82,0.65,22.745,0.73
268,0.45,22.9921607143,0.05,10.04,0.7,23.085,0.64
269,0.45,23.507890873,0.05,7.56,0.75,24.415,0.57
270,0.45,23.0636765873,0.05,11.33,0.8,23.935,0.78
271,0.45,23.4291388889,0.05,10.5,0.85,23.385,0.64
272,0.45,21.2886150794,0.05,9.9,0.9,21.775,0.82
273,0.45,19.7881210317,0.05,9.05,0.95,19.75,0.67
274,0.45,15.184077381,0.05,8.16,1.0,15.46,0.64
275,0.5,18.9991944444,0.05,8.43,0.5,19.775,0.58
276,0.5,21.6519186508,0.05,11.93,0.55,22.115,0.85
277,0.5,18.7792103175,0.05,5.83,0.6,18.21,0.39
278,0.5,21.5367519841,0.05,8.93,0.65,21.905,0.65
279,0.5,24.0354781746,0.05,9.89,0.7,24.365,0.63
280,0.5,18.9532777778,0.05,9.7,0.75,20.005,0.67
281,0.5,23.5026329365,0.05,6.15,0.8,24.235,0.44
282,0.5,20.2581051587,0.05,4.27,0.85,20.605,0.29
283,0.5,21.8555079365,0.05,10.97,0.9,21.685,0.75
284,0.5,16.6416785714,0.05,10.26,0.95,17.005,0.78
285,0.5,19.9029107143,0.05,10.03,1.0,20.205,0.69
286,0.55,18.1615753968,0.05,8.3,0.5,17.71,0.53
287,0.55,19.5336646825,0.05,7.11,0.55,19.795,0.5
288,0.55,22.1602718254,0.05,12.34,0.6,22.325,0.85
289,0.55,11.358077381,0.05,4.64,0.65,11.885,0.39
290,0.55,16.2691845238,0.05,6.55,0.7,16.375,0.41
291,0.55,18.8609325397,0.05,4.93,0.75,19.25,0.4
292,0.55,22.5820019841,0.05,7.23,0.8,22.81,0.57
293,0.55,20.891952381,0.05,6.68,0.85,21.1,0.51
294,0.55,21.5684186508,0.05,8.02,0.9,21.625,0.58
295,0.55,20.1719900794,0.05,4.48,0.95,20.325,0.38
296,0.55,13.499952381,0.05,7.72,1.0,13.335,0.59
297,0.6,18.2145575397,0.05,7.99,0.5,18.755,0.57
